Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Hall_of_Fame,Active,Url,Path
Frank Jackson,2019,2023,G,6-3,205.0,"May 4, 1998",Duke,False,True,https://www.basketball-reference.com/players/j/jacksfr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksfr01.html
Greg Jackson,1975,1975,G,6-0,180.0,"August 2, 1952",Guilford College,False,False,https://www.basketball-reference.com/players/j/jacksgr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksgr01.html
GG Jackson II,2024,2024,F,6-9,215.0,"December 17, 2004",South Carolina,False,True,https://www.basketball-reference.com/players/j/jacksgg01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksgg01.html
Isaiah Jackson,2022,2024,C-F,6-10,206.0,"January 10, 2002",Kentucky,False,True,https://www.basketball-reference.com/players/j/jacksis01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksis01.html
Jaren Jackson,1990,2002,G-F,6-4,190.0,"October 27, 1967",Georgetown,False,False,https://www.basketball-reference.com/players/j/jacksja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksja01.html
Jaren Jackson Jr.,2019,2024,F,6-10,242.0,"September 15, 1999",Michigan State,False,True,https://www.basketball-reference.com/players/j/jacksja02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksja02.html
Jermaine Jackson,2000,2006,G,6-4,204.0,"June 7, 1976",Detroit Mercy,False,False,https://www.basketball-reference.com/players/j/jacksje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksje01.html
Jim Jackson,1993,2006,G,6-6,220.0,"October 14, 1970",Ohio State,False,False,https://www.basketball-reference.com/players/j/jacksji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksji01.html
Josh Jackson,2018,2022,F-G,6-8,207.0,"February 10, 1997",Kansas,False,True,https://www.basketball-reference.com/players/j/jacksjo02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksjo02.html
Justin Jackson,2018,2024,G-F,6-8,220.0,"March 28, 1995",UNC,False,True,https://www.basketball-reference.com/players/j/jacksju01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksju01.html
Luke Jackson,1965,1972,F-C,6-9,240.0,"October 31, 1941",University of Texas Rio Grande Valley,False,False,https://www.basketball-reference.com/players/j/jackslu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackslu01.html
Luke Jackson,2005,2008,F,6-7,215.0,"November 6, 1981",Oregon,False,False,https://www.basketball-reference.com/players/j/jackslu02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackslu02.html
Marc Jackson,2001,2007,C,6-10,270.0,"January 16, 1975","VCU, Temple",False,False,https://www.basketball-reference.com/players/j/jacksma02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksma02.html
Mark Jackson,1988,2004,G,6-1,180.0,"April 1, 1965",St. John's,False,False,https://www.basketball-reference.com/players/j/jacksma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksma01.html
Merv Jackson,1969,1973,G,6-3,175.0,"August 15, 1946",Utah,False,False,https://www.basketball-reference.com/players/j/jacksme01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksme01.html
Michael Jackson,1988,1990,G,6-2,183.0,"July 13, 1964",Georgetown,False,False,https://www.basketball-reference.com/players/j/jacksmi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksmi02.html
Mike Jackson,1973,1976,F,6-7,215.0,"July 31, 1949","Allan Hancock College, California State University, Los Angeles",False,False,https://www.basketball-reference.com/players/j/jacksmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksmi01.html
Myron Jackson,1987,1987,G,6-3,185.0,"May 6, 1964",Little Rock,False,False,https://www.basketball-reference.com/players/j/jacksmy01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksmy01.html
Phil Jackson,1968,1980,F-C,6-8,220.0,"September 17, 1945",University of North Dakota,True,False,https://www.basketball-reference.com/players/j/jacksph01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksph01.html
Pierre Jackson,2017,2017,G,5-10,180.0,"August 29, 1991",Baylor,False,False,https://www.basketball-reference.com/players/j/jackspi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackspi01.html
Quenton Jackson,2023,2024,G,6-5,175.0,"September 15, 1998",Texas A&M,False,True,https://www.basketball-reference.com/players/j/jacksqu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksqu01.html
Ralph Jackson,1985,1985,G,6-2,190.0,"October 26, 1962",UCLA,False,False,https://www.basketball-reference.com/players/j/jacksra01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksra01.html
Randell Jackson,1999,2000,F,6-11,215.0,"January 16, 1976",Florida State,False,False,https://www.basketball-reference.com/players/j/jacksra02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksra02.html
Reggie Jackson,2012,2024,G,6-2,208.0,"April 16, 1990",Boston College,False,True,https://www.basketball-reference.com/players/j/jacksre01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksre01.html
Stanley Jackson,1994,1994,G,6-3,185.0,"October 10, 1970",UAB,False,False,https://www.basketball-reference.com/players/j/jacksst01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksst01.html
Stephen Jackson,2001,2014,F-G,6-8,218.0,"April 5, 1978",Butler County Community College,False,False,https://www.basketball-reference.com/players/j/jacksst02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksst02.html
Tony Jackson,1968,1969,F-G,6-4,200.0,"November 7, 1942",St. John's,False,False,https://www.basketball-reference.com/players/j/jacksto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksto01.html
Tony Jackson,1981,1981,G,6-0,170.0,"January 17, 1958",Florida State,False,False,https://www.basketball-reference.com/players/j/jacksto02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacksto02.html
Tracy Jackson,1982,1984,G-F,6-6,205.0,"April 21, 1959",Notre Dame,False,False,https://www.basketball-reference.com/players/j/jackstr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackstr01.html
Wardell Jackson,1975,1975,F,6-7,200.0,"July 18, 1951",Ohio State,False,False,https://www.basketball-reference.com/players/j/jackswa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackswa01.html
Trayce Jackson-Davis,2024,2024,F,6-9,245.0,"February 22, 2000",Indiana,False,True,https://www.basketball-reference.com/players/j/jackstr02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jackstr02.html
Fred Jacobs,1947,1947,F,6-3,175.0,"December 2, 1922",Denver,False,False,https://www.basketball-reference.com/players/j/jacobfr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacobfr01.html
Casey Jacobsen,2003,2008,G-F,6-6,215.0,"March 19, 1981",Stanford,False,False,https://www.basketball-reference.com/players/j/jacobca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacobca01.html
Sam Jacobson,1999,2001,G-F,6-4,215.0,"July 22, 1975",Minnesota,False,False,https://www.basketball-reference.com/players/j/jacobsa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jacobsa01.html
Dave Jamerson,1991,1994,G-F,6-5,190.0,"August 13, 1967",Ohio University,False,False,https://www.basketball-reference.com/players/j/jamerda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamerda01.html
Aaron James,1975,1979,F,6-8,210.0,"October 5, 1952",Grambling State University,False,False,https://www.basketball-reference.com/players/j/jamesaa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesaa01.html
Bernard James,2013,2015,C,6-10,240.0,"February 7, 1985",Florida State,False,False,https://www.basketball-reference.com/players/j/jamesbe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesbe01.html
Billy James,1974,1974,G,6-3,185.0,"February 11, 1950",Marshall,False,False,https://www.basketball-reference.com/players/j/jamesbi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesbi01.html
Damion James,2011,2014,G-F,6-7,225.0,"October 7, 1987",Texas,False,False,https://www.basketball-reference.com/players/j/jamesda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesda01.html
Gene James,1949,1951,F,6-4,180.0,"February 15, 1925",Marshall,False,False,https://www.basketball-reference.com/players/j/jamesge01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesge01.html
Henry James,1991,1998,F,6-8,220.0,"July 29, 1965","South Plains College, St. Mary's University",False,False,https://www.basketball-reference.com/players/j/jameshe01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jameshe01.html
Jerome James,1999,2009,C,7-0,300.0,"November 17, 1975",Florida A&M,False,False,https://www.basketball-reference.com/players/j/jamesje01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesje01.html
Justin James,2020,2021,G,6-7,190.0,"January 24, 1997",Wyoming,False,True,https://www.basketball-reference.com/players/j/jamesju01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesju01.html
LeBron James,2004,2024,F-G,6-9,250.0,"December 30, 1984",,False,True,https://www.basketball-reference.com/players/j/jamesle01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesle01.html
Mike James,2002,2014,G,6-2,188.0,"June 23, 1975",Duquesne,False,False,https://www.basketball-reference.com/players/j/jamesmi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesmi01.html
Mike James,2018,2021,G,6-1,189.0,"August 18, 1990",Lamar,False,False,https://www.basketball-reference.com/players/j/jamesmi02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesmi02.html
Tim James,2000,2002,F,6-7,212.0,"December 26, 1976",Miami (FL),False,False,https://www.basketball-reference.com/players/j/jamesti01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamesti01.html
Antawn Jamison,1999,2014,F,6-9,223.0,"June 12, 1976",UNC,False,False,https://www.basketball-reference.com/players/j/jamisan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamisan01.html
Harold Jamison,2000,2002,F,6-8,260.0,"November 20, 1976",Clemson,False,False,https://www.basketball-reference.com/players/j/jamisha01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jamisha01.html
John Janisch,1947,1948,F-G,6-3,200.0,"March 15, 1920",Valparaiso,False,False,https://www.basketball-reference.com/players/j/janisjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{janisjo01.html
Howie Janotta,1950,1950,F,6-3,185.0,"October 19, 1924",Seton Hall,False,False,https://www.basketball-reference.com/players/j/janotho01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{janotho01.html
Jaime Jaquez Jr.,2024,2024,G-F,6-6,225.0,"February 18, 2001",UCLA,False,True,https://www.basketball-reference.com/players/j/jaqueja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jaqueja01.html
Marko Jarić,2003,2009,G,6-7,198.0,"October 12, 1978",,False,False,https://www.basketball-reference.com/players/j/jaricma01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jaricma01.html
Tony Jaros,1947,1951,F-G,6-3,185.0,"February 22, 1920",Minnesota,False,False,https://www.basketball-reference.com/players/j/jarosto01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jarosto01.html
DeJon Jarreau,2022,2024,G,6-5,185.0,"January 23, 1998","UMass, Houston",False,True,https://www.basketball-reference.com/players/j/jarrede01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jarrede01.html
Jim Jarvis,1968,1969,G,6-1,175.0,"March 3, 1943",Oregon State,False,False,https://www.basketball-reference.com/players/j/jarviji01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jarviji01.html
Šarūnas Jasikevičius,2006,2007,G,6-4,195.0,"March 5, 1976",Maryland,False,False,https://www.basketball-reference.com/players/j/jasiksa01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jasiksa01.html
Nathan Jawai,2009,2010,C-F,6-10,280.0,"October 10, 1986",Midland College,False,False,https://www.basketball-reference.com/players/j/jawaina01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jawaina01.html
Buddy Jeannette,1948,1950,G,5-11,175.0,"September 15, 1917",Washington & Jefferson College,True,False,https://www.basketball-reference.com/players/j/jeannbu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeannbu01.html
Abdul Jeelani,1980,1981,F-C,6-8,210.0,"February 10, 1954",University of Wisconsin-Parkside,False,False,https://www.basketball-reference.com/players/j/jeelaab01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeelaab01.html
Chris Jefferies,2003,2004,G-F,6-8,225.0,"February 13, 1980","Arkansas, Fresno State",False,False,https://www.basketball-reference.com/players/j/jeffech01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffech01.html
Othyus Jeffers,2010,2014,G,6-5,200.0,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)",False,False,https://www.basketball-reference.com/players/j/jeffeot01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffeot01.html
Al Jefferson,2005,2018,C-F,6-10,289.0,"January 4, 1985",,False,False,https://www.basketball-reference.com/players/j/jeffeal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffeal01.html
Amile Jefferson,2019,2020,F,6-9,222.0,"May 7, 1993",Duke,False,False,https://www.basketball-reference.com/players/j/jeffeam01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffeam01.html
Cory Jefferson,2015,2016,F,6-9,218.0,"December 26, 1990",Baylor,False,False,https://www.basketball-reference.com/players/j/jeffeco01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffeco01.html
Dontell Jefferson,2009,2009,G,6-5,195.0,"December 15, 1983",Arkansas,False,False,https://www.basketball-reference.com/players/j/jeffedo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffedo01.html
Richard Jefferson,2002,2018,F,6-7,233.0,"June 21, 1980",Arizona,False,False,https://www.basketball-reference.com/players/j/jefferi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jefferi01.html
DaQuan Jeffries,2020,2024,G-F,6-5,230.0,"August 30, 1997","Oral Roberts, Tulsa",False,True,https://www.basketball-reference.com/players/j/jeffrda01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffrda01.html
Jared Jeffries,2003,2013,F,6-11,230.0,"November 25, 1981",Indiana,False,False,https://www.basketball-reference.com/players/j/jeffrja01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeffrja01.html
Trey Jemison,2024,2024,C,6-11,260.0,"November 28, 1999","Clemson, UAB",False,True,https://www.basketball-reference.com/players/j/jemistr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jemistr01.html
Charles Jenkins,2012,2013,G,6-3,220.0,"February 28, 1989",Hofstra,False,False,https://www.basketball-reference.com/players/j/jenkich01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jenkich01.html
Horace Jenkins,2005,2005,G,6-1,180.0,"October 14, 1974",William Paterson University,False,False,https://www.basketball-reference.com/players/j/jenkiho01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jenkiho01.html
John Jenkins,2013,2019,G,6-4,215.0,"March 6, 1991",Vanderbilt,False,True,https://www.basketball-reference.com/players/j/jenkijo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jenkijo01.html
Brandon Jennings,2010,2018,G,6-1,170.0,"September 23, 1989",,False,False,https://www.basketball-reference.com/players/j/jennibr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jennibr01.html
Keith Jennings,1993,1995,G,5-7,160.0,"November 2, 1968",East Tennessee State University,False,False,https://www.basketball-reference.com/players/j/jennike01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jennike01.html
Chris Jent,1994,1997,F,6-7,220.0,"January 11, 1970",Ohio State,False,False,https://www.basketball-reference.com/players/j/jentch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jentch01.html
Les Jepsen,1991,1992,C,7-0,237.0,"June 24, 1967",Iowa,False,False,https://www.basketball-reference.com/players/j/jepsele01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jepsele01.html
Jonas Jerebko,2010,2019,F,6-10,231.0,"March 2, 1987",,False,False,https://www.basketball-reference.com/players/j/jerebjo01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jerebjo01.html
Ty Jerome,2020,2024,G,6-5,195.0,"July 8, 1997",Virginia,False,True,https://www.basketball-reference.com/players/j/jeromty01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeromty01.html
Grant Jerrett,2015,2015,F,6-10,235.0,"July 8, 1993",Arizona,False,False,https://www.basketball-reference.com/players/j/jerregr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jerregr01.html
Eugene Jeter,2011,2011,G,5-11,175.0,"December 2, 1983",University of Portland,False,False,https://www.basketball-reference.com/players/j/jetereu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jetereu01.html
Hal Jeter,1970,1970,G,6-3,190.0,"May 17, 1945",Drake University,False,False,https://www.basketball-reference.com/players/j/jeterha01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jeterha01.html
Yi Jianlian,2008,2012,F,7-0,240.0,"October 27, 1987",,False,False,https://www.basketball-reference.com/players/j/jianlyi01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{jianlyi01.html
Isaiah Joe,2021,2024,G,6-4,165.0,"July 2, 1999",Arkansas,False,True,https://www.basketball-reference.com/players/j/joeis01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{joeis01.html
Britton Johnsen,2004,2005,F,6-10,210.0,"July 8, 1979",Utah,False,False,https://www.basketball-reference.com/players/j/johnsbr01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsbr01.html
Alexander Johnson,2007,2008,F,6-9,240.0,"February 8, 1983",Florida State,False,False,https://www.basketball-reference.com/players/j/johnsal01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsal01.html
Alize Johnson,2019,2023,F,6-7,212.0,"April 22, 1996",Missouri State,False,True,https://www.basketball-reference.com/players/j/johnsal02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsal02.html
Amir Johnson,2006,2019,F-C,6-9,240.0,"May 1, 1987",,False,False,https://www.basketball-reference.com/players/j/johnsam01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsam01.html
Andy Johnson,1959,1962,F-G,6-5,215.0,"November 8, 1932",University of Portland,False,False,https://www.basketball-reference.com/players/j/johnsan01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsan01.html
Anthony Johnson,1998,2010,G,6-3,190.0,"October 2, 1974",College of Charleston,False,False,https://www.basketball-reference.com/players/j/johnsan02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsan02.html
Armon Johnson,2011,2012,G,6-3,195.0,"February 23, 1989",Nevada,False,False,https://www.basketball-reference.com/players/j/johnsar02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsar02.html
Arnie Johnson,1949,1953,F-C,6-5,236.0,"May 16, 1920",Bemidji State University,False,False,https://www.basketball-reference.com/players/j/johnsar01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsar01.html
Avery Johnson,1989,2004,G,5-10,175.0,"March 25, 1965","Cameron University, Southern University and A&M College",False,False,https://www.basketball-reference.com/players/j/johnsav01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsav01.html
B.J. Johnson,2019,2022,G,6-7,200.0,"December 21, 1995","Syracuse, La Salle",False,False,https://www.basketball-reference.com/players/j/johnsbj01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsbj01.html
Brice Johnson,2017,2018,F,6-10,230.0,"June 27, 1994",UNC,False,False,https://www.basketball-reference.com/players/j/johnsbr02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsbr02.html
Buck Johnson,1987,1993,F,6-7,190.0,"January 3, 1964",Alabama,False,False,https://www.basketball-reference.com/players/j/johnsbu01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsbu01.html
Cameron Johnson,2020,2024,F,6-8,210.0,"March 3, 1996","Pitt, UNC",False,True,https://www.basketball-reference.com/players/j/johnsca02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsca02.html
Carldell Johnson,2012,2012,G,5-10,180.0,"January 28, 1983",UAB,False,False,https://www.basketball-reference.com/players/j/johnsca01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsca01.html
Charles Johnson,1973,1979,G,6-0,170.0,"March 31, 1949",California,False,False,https://www.basketball-reference.com/players/j/johnsch01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsch01.html
Cheese Johnson,1980,1980,F-G,6-6,195.0,"September 7, 1957",Wichita State,False,False,https://www.basketball-reference.com/players/j/johnsch02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsch02.html
Chris Johnson,2011,2013,C,6-11,210.0,"July 15, 1985",LSU,False,False,https://www.basketball-reference.com/players/j/johnsch03.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsch03.html
Chris Johnson,2013,2016,F-G,6-6,206.0,"April 29, 1990",Dayton,False,False,https://www.basketball-reference.com/players/j/johnsch04.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsch04.html
Clay Johnson,1982,1984,G,6-4,175.0,"July 18, 1956",Missouri,False,False,https://www.basketball-reference.com/players/j/johnscl02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnscl02.html
Clemon Johnson,1979,1988,C-F,6-10,240.0,"September 12, 1956",Florida A&M,False,False,https://www.basketball-reference.com/players/j/johnscl01.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnscl01.html
Dakari Johnson,2018,2018,C,7-0,255.0,"September 22, 1995",Kentucky,False,False,https://www.basketball-reference.com/players/j/johnsda04.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsda04.html
Darryl Johnson,1996,1996,G,6-1,170.0,"October 26, 1965",Michigan State,False,False,https://www.basketball-reference.com/players/j/johnsda02.html,/Users/mauriciozorzan/NBA_Champion/Data/PLAYER_HTML/https}{{www.basketball-reference.com{players{j{johnsda02.html
